text,Pattern Category
 Rain Boots ,Not Dark Pattern
only 2 left in stock,Bait and switch
"No thanks, I don't like deals.",Forced continuity
Exterior Accessories,Not Dark Pattern
"Size low on stock, only 1 item left",Bait and switch
Strength & Functional Training,Not Dark Pattern
8 people have this in their bag right now.,Sneaking 
Motion Control System,Not Dark Pattern
11 people viewed this today!,Sneaking 
View All Home Accents,Not Dark Pattern
SUBSCRIPTION SUCCESSFUL. THANK YOU!,Not Dark Pattern
 Lawn Mowers ,Not Dark Pattern
Sale Clothing,Not Dark Pattern
 Fashion Floral Short Sleeve Dress ,Not Dark Pattern
How about one of these hot sellers?,Forced continuity
Only 3 left,Bait and switch
"Now 20% off, hurry limited time offer!",Hidden costs
Boys Red School Uniforms,Not Dark Pattern
"No thanks, I don't want a free gift.",Forced continuity
"Hurry! Sale Ends In:

02:59:50",Hidden costs
 info@chainedandable.com ,Not Dark Pattern
"NO, I'D RATHER PAY FULL PRICE",Forced continuity
activate within 10:00,Hidden costs
There is only one product left!,Bait and switch
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Hidden costs
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern
 Laundry & Cleaning ,Not Dark Pattern
"Only 3 left, order soon",Bait and switch
 Entertainment Centers & TV Stands ,Not Dark Pattern
"No, I don't feel lucky",Forced continuity
STAY IN THE LOOP!,Not Dark Pattern
1 left in stock. Hurry!,Bait and switch
Blue Raspberry,Not Dark Pattern
Your cart is reserved for 09:35 minutes.,Hidden costs
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Hidden costs
ONLY A FEW LEFT!,Bait and switch
"No thanks, I like full price",Forced continuity
HIGH DEMAND,Bait and switch
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark Pattern
ONLY A FEW LEFT,Bait and switch
 Indoor Festive Lights ,Not Dark Pattern
"EastwoodModern, sleek and enchanting, the Eastwood Collection provides comfortable seating while still looking mid-century magnificent.",Not Dark Pattern
 Synthesis Alloy Collection ,Not Dark Pattern
MOST POPULAR,Sneaking 
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Forced continuity
Occasion: Anniversary,Not Dark Pattern
8 people have viewed this product today!,Sneaking 
30 people have purchased this item,Sneaking 
Musical Toys,Not Dark Pattern
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Sneaking 
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark Pattern
Limited Time Offer!,Hidden costs
Events and Entertainment,Not Dark Pattern
About UsNews & Articles,Not Dark Pattern
Almost gone! Only 3 left In Stock,Bait and switch
 Low Maintenance Plants ,Not Dark Pattern
 Men's Apparel Collection ,Not Dark Pattern
 View All Parts ,Not Dark Pattern
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern
3 people are looking at this product,Sneaking 
38 people are viewing this,Sneaking 
"no thanks, I don't like to save",Forced continuity
00 HRS 57 MINS 56 SECS,Hidden costs
Shop all interactive whiteboards,Not Dark Pattern
Sign up to stay up to date on all White Cloud news and savings!,Not Dark Pattern
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Sneaking 
Hurry! Only 6 left in stock!,Bait and switch
Only 1 Left in this Size!,Bait and switch
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,Not Dark Pattern
"Our website implements the ARIA attributes (Accessible Rich Internet Applications) technique, alongside various behavioral changes, to ensure blind users visiting with screen-readers can read, comprehend, and enjoy the website’s functions. As soon as a user with a screen-reader enters your site, they immediately receive a prompt to enter the Screen-Reader Profile so they can browse and operate your site effectively. Here’s how our website covers some of the most important screen-reader requirements:",Not Dark Pattern
Only 7 left!,Bait and switch
 Yearly ,Not Dark Pattern
" to resolve the issue, or ",Not Dark Pattern
Shop by Activity,Not Dark Pattern
 Home » ,Not Dark Pattern
Lace Front African American Wigs,Not Dark Pattern
SRX Remotes,Not Dark Pattern
 PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe ,Not Dark Pattern
"Son in Suisun City, United States purchased Commander Lex",Sneaking 
All Brands A-Z ,Not Dark Pattern
Icon MTB Socks - Black/Green,Not Dark Pattern
Focus remotes,Not Dark Pattern
3DAYS124606,Hidden costs
"To cancel your order before it ships, call us.",Sneaking 
Signup for email updates from Car and Truck Remotes!,Not Dark Pattern
"Easy, awesome! ready to go. Held a charge first night",Not Dark Pattern
More than 752 users are adding shapewear to their cart. Is your size left?,Sneaking 
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,Not Dark Pattern
Flat Top,Not Dark Pattern
CPUs & Processors,Not Dark Pattern
Brand Directory ,Not Dark Pattern
"No, I don't feel lucky.",Forced continuity
Only 2 left in stock. Make it yours.,Bait and switch
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",Sneaking 
  ,Not Dark Pattern
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Sneaking 
Only 1 left in stock.,Bait and switch
 Candy & Snacks ,Not Dark Pattern
"Only 1 left , In Stock",Bait and switch
65% of our customers added Surefit protection this year.,Sneaking 
50% OFF for Limited Time Only!!!,Hidden costs
 Active Filters English English ✘ Remove Filter ,Not Dark Pattern
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Hidden costs
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",Sneaking 
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Hidden costs
 MIN Twins ,Not Dark Pattern
Wedding Cross Stich & Embroidery Patterns,Not Dark Pattern
Choose Type of Cookies You Accept Using,Not Dark Pattern
 ★ ★ ★ ★ ★ ,Not Dark Pattern
10 SEATS LEFT,Bait and switch
(Only 5 Left),Bait and switch
 Mixed Wine Cases ,Not Dark Pattern
Let's make sure you have everything else you need,Forced continuity
80% offers claimed. Hurry up!,Bait and switch
WhiteBoho Rose Comforter and Sham Set,Not Dark Pattern
Your order is reserved for 09:57 minutes!,Hidden costs
 ₪ ILS ,Not Dark Pattern
 Cooling & Air Treatment ,Not Dark Pattern
"Mother’s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",Not Dark Pattern
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Hidden costs
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,Hidden costs
Mary Janes,Not Dark Pattern
Select Your Year,Not Dark Pattern
What treats can I use?,Not Dark Pattern
We curate the very best in creative and innovative fashion for the EDM Lifestyle. ,Not Dark Pattern
Only 20 left,Bait and switch
 Terms of Service ,Not Dark Pattern
Upright Plants,Not Dark Pattern
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Hidden costs
"""Your purchase entitles you to the following special""",Forced continuity
 Brass Shankh ,Not Dark Pattern
2 people are looking right now,Sneaking 
Boys Shorts,Not Dark Pattern
IN HIGH DEMAND!,Bait and switch
Low Stock Only 2 left,Bait and switch
Anaheim DucksArizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,Not Dark Pattern
Blankets Throws,Not Dark Pattern
Shop Disposables,Not Dark Pattern
 Free Delivery to Home & Next day delivery available to store* ,Not Dark Pattern
Limited-time Deal,Bait and switch
Limited time - Free Shipping on all orders*,Hidden costs
Surgical & Face Masks,Not Dark Pattern
Hurry! Only 4 left in stock.,Bait and switch
"No thanks, I despise coupons!",Forced continuity
Shop Men's Styles,Not Dark Pattern
"If you are one of those constantly devoted to healthy eating, weight loss plans,..",Not Dark Pattern
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Sneaking 
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Hidden costs
(5 Left),Bait and switch
 Choosing the Best Plus Size Briefs ,Not Dark Pattern
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Hidden costs
 Cable Winders ,Not Dark Pattern
TSX Remotes,Not Dark Pattern
Only 3 Left In Stock,Bait and switch
Baby Bathtubs,Not Dark Pattern
Only 14 left,Bait and switch
33 people are eyeing this item!,Sneaking 
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Forced continuity
"No thanks, I don't like saving money",Forced continuity
Only 1 Left in Stock. Buy Soon!,Bait and switch
19 people have viewed this item,Sneaking 
Crossman Air Pistols,Not Dark Pattern
"No Thanks, I'd Rather Pay Full Price",Forced continuity
Harry Potter ,Not Dark Pattern
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern
We only have 8.0000 left in Stock,Bait and switch
"Hurry, Sale ends in 9 Hours!",Hidden costs
Jewelry Care Kit,Not Dark Pattern
Give a Gift,Not Dark Pattern
 First name * ,Not Dark Pattern
166 people have added this item to cart,Sneaking 
LIMITED TIME LEFT! 00 : 46 : 11,Hidden costs
Speak with our customer-care executive who will help you with your buying.,Not Dark Pattern
Mechanic's Wear,Not Dark Pattern
Please note: we do not ship to PO Boxes,Not Dark Pattern
"Michael M. from Lacey, WA just bought a Cal King",Sneaking 
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",Not Dark Pattern
There are only 1 item left in stock.,Bait and switch
Free Shipping*,Not Dark Pattern
"Crystals are alive. Born inside Mother Earth, crystal energy can be felt just like heat or cold. For chakra training to astrological remedies, discover healing crystals.",Not Dark Pattern
A-Z Luxury Brands,Not Dark Pattern
ALMOST GONE - only 2 remaining!,Bait and switch
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Hidden costs
Over 200 views in 24 hrs,Sneaking 
"Hurry, only 302 left.",Bait and switch
Shotgun Bore Mops,Not Dark Pattern
POPULAR 64 others checked this out in the last few hours.,Sneaking 
ONLY 5 LEFT IN STOCK,Bait and switch
"No thanks, I hate saving money",Forced continuity
Moroccan Rugs,Not Dark Pattern
ONLY AVAILABLE FOR A LIMITED TIME,Hidden costs
 Sprouting ,Not Dark Pattern
Help us #savethefishies.,Not Dark Pattern
5 items left,Bait and switch
This product was viewed 26 seconds ago by someone from Princeton,Sneaking 
ONLY 1 ITEM LEFT!,Bait and switch
ONLY 11 LEFT,Bait and switch
Only a few left of this product!,Bait and switch
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern
Purchased 6 times this week.,Sneaking 
Crochet Baby Patterns,Not Dark Pattern
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,Not Dark Pattern
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,Not Dark Pattern
Only 4 left at this price,Bait and switch
"Once a celebrated author of short stories now in his twilight years, ",Not Dark Pattern
Recent Searches,Not Dark Pattern
 Brand case & cloth included ,Not Dark Pattern
Hair Color + Highlights,Not Dark Pattern
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",Not Dark Pattern
"Only 2 left, order soon",Bait and switch
 Food ,Not Dark Pattern
MORE WAYS TO SHOP,Not Dark Pattern
Your shopping cart is empty.,Not Dark Pattern
Coin Necklace ,Not Dark Pattern
Mallet E Speed Lace - Black/Silver,Not Dark Pattern
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Sneaking 
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Sneaking 
Items in your cart are in VERY high-demand.,Bait and switch
Sign up to our mailing list here and be the first to know about exclusive offers and events,Not Dark Pattern
Items in your cart are selling fast,Bait and switch
"No thanks, I don't like winning.",Forced continuity
Laundry Care,Not Dark Pattern
Low in stock: only 2 left.,Bait and switch
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Hidden costs
"Order soon, only 1 left!",Bait and switch
This campaign was taken down for content reasons,Not Dark Pattern
"Hurry, only 2 left in stock!",Bait and switch
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern
ONLY 5 LEFT IN STOCK!,Bait and switch
Over 238 people have bought this product,Sneaking 
Order in 13:16 to get $200 off your mattress,Hidden costs
 Bob Ross Oil Brushes ,Not Dark Pattern
"No Thanks, I'd rather pay full price",Forced continuity
Terra - Medium Brown,Not Dark Pattern
Warning: Last items in stock!,Bait and switch
Work With More Buyers And Sellers?,Not Dark Pattern
 Lighting,Not Dark Pattern
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,Not Dark Pattern
39 recently purchased it,Sneaking 
Limited Time Offer: 10% Off your first order!,Hidden costs
Computer Accessories,Not Dark Pattern
Aromatherapy ,Not Dark Pattern
A Ritual of Light,Not Dark Pattern
Hurry only 2 left,Bait and switch
21 people looked at this during the last 24 hours,Sneaking 
Black Jeans,Not Dark Pattern
Build your own powerful multi-vendor marketplace website,Not Dark Pattern
"Items in your cart are in high demand, but we have reserved your order.",Bait and switch
167 piece(s) left for this promo,Bait and switch
"No Thanks, I don't like free stuff.",Forced continuity
Only 32 left in stock,Bait and switch
Less than 10 left!,Bait and switch
CUSTOMER SERVICE,Not Dark Pattern
Hurry! Sale ends in:,Hidden costs
NRA Firearms For Freedom,Not Dark Pattern
Low in stock,Bait and switch
Availability: Only 1 Left,Bait and switch
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern
Straight Hair Extensions,Not Dark Pattern
Radio and GPS Pouches,Not Dark Pattern
Only 3 left!,Bait and switch
Only 4 unit(s) available!,Bait and switch
Anniversary Gifts by Year,Not Dark Pattern
All Scrapbooking Supplies,Not Dark Pattern
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Forced continuity
 New In,Not Dark Pattern
146 people recently purchased this.,Sneaking 
Only 25 Deals left,Bait and switch
HOW TO MANAGE SIDE EFFECTS,Not Dark Pattern
Website Accessibility,Not Dark Pattern
 Item added to cart. View cart and check out. Close ,Not Dark Pattern
Heat Mats & Strips,Not Dark Pattern
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Hidden costs
3 people bought this item last week.,Sneaking 
 Share on Pinterest ,Not Dark Pattern
Only 8 left in stock,Bait and switch
Hurry! This special sale ends in 2h 42m 0s,Hidden costs
Hype. Home,Not Dark Pattern
VIP OFFERS END 00:54:59,Hidden costs
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark Pattern
This is how you can reject or delete your cookies,Not Dark Pattern
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark Pattern
 Email Address ,Not Dark Pattern
Your cart is reserved for 14:57 minutes!,Hidden costs
"No thanks, I don't want any deals",Forced continuity
Toddler Boy Underwear and Undershirts,Not Dark Pattern
Collegiate Shooting Programs,Not Dark Pattern
ONLY 1 ITEM LEFT,Bait and switch
01 Hours 37 Minutes 48 Seconds 1/10s,Hidden costs
 Supporting All Artists Create because you can ,Not Dark Pattern
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern
Send as giftexpand_more,Not Dark Pattern
Delivery & Returns,Not Dark Pattern
Only: 9 in stock now,Bait and switch
"Only 3 left , In Stock",Bait and switch
Livefood Subscription,Not Dark Pattern
Grocery & Liquor,Not Dark Pattern
 For Wife ,Not Dark Pattern
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Hidden costs
Great for keeping track of your pup while at work,Not Dark Pattern
 Subscribe ,Not Dark Pattern
Powered by,Not Dark Pattern
JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,Not Dark Pattern
"Hurry, Only a few left!",Bait and switch
 I love this phone case! 😍 #phonecase #hiraeth #appleiphone #apple #rosegold #loveit ,Not Dark Pattern
ONLY 1 LEFT IN THIS SIZE,Bait and switch
Looking for your order history?,Not Dark Pattern
Only 82 left in stock!,Bait and switch
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,Not Dark Pattern
Traditional Snacks,Not Dark Pattern
 Travel Accessories ,Not Dark Pattern
eWriters & Graphics Tablets,Not Dark Pattern
 EU Delivery & Returns ,Not Dark Pattern
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Hidden costs
Your order will be reserved for 6:56 minutes.,Hidden costs
LESS THAN 8 LEFT IN STOCK!,Bait and switch
 United States ,Not Dark Pattern
Limited Time Sale - Buy Now!,Hidden costs
 Mobile Terms of Use ,Not Dark Pattern
 ALL SALE ,Not Dark Pattern
MyStore,Not Dark Pattern
JUST 1 LEFT!,Bait and switch
"Don't snooze, only 1 left",Bait and switch
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,Forced continuity
"Don't miss out, only 2 left in stock",Bait and switch
"Someone from Rochedale, Queensland, Australia started buying this!",Sneaking 
 Please click ,Not Dark Pattern
 Box Springs & Foundations,Not Dark Pattern
Countdown,Not Dark Pattern
Men's Pullover Sweaters,Not Dark Pattern
 Tony Bianco ,Not Dark Pattern
 LOGO BLACK ,Not Dark Pattern
Everything was perfect. The delivery was very smooth and the products were in great condition as well.,Not Dark Pattern
 Face Masks,Not Dark Pattern
LIMITED TIME OFFER!,Hidden costs
Low In Stock Today,Bait and switch
Lenscap: Damage Only,Forced continuity
With 1-year Care Subscription 10 days history,Forced continuity
About Ruth Hogan,Not Dark Pattern
Don't miss out on this item! There is only 1 left in stock.,Bait and switch
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Forced continuity
"No thanks, I'd rather pay full price.",Forced continuity
Wait! Take 10% off Your First Order Deal Expires Soon!,Hidden costs
Diamond Nose Studs,Not Dark Pattern
Perhaps you could...,Not Dark Pattern
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",Sneaking 
Limited Time Only! 20% Off,Hidden costs
"Hurry, only 2 left in stock",Bait and switch
 Casual V-Neck Sleeveless T-Shirt ,Not Dark Pattern
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Sneaking 
Hurry only 8 items left!,Bait and switch
 Shop ,Not Dark Pattern
Someone in United States just purchased a,Sneaking 
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Hidden costs
 Rechargeable ,Not Dark Pattern
 Redeem Gift Certificates ,Not Dark Pattern
Hurry! 1 items left!,Bait and switch
Muc-Off,Not Dark Pattern
Frequently Asked Questions,Not Dark Pattern
We value your input. Share your review so everyone else can enjoy it too.,Not Dark Pattern
"Someone in Byron Bay, NSW just bought",Sneaking 
Last 1 left,Bait and switch
Limited quantity available,Bait and switch
 ॐ Welcome to Devshoppe Sign In or Create an Account ,Not Dark Pattern
Code of Conduct,Not Dark Pattern
Macro Focussing Rails,Not Dark Pattern
Tactical Rifles,Not Dark Pattern
Bottoms Deals,Not Dark Pattern
Checkout within 04:10 so we don't run out of stock!,Hidden costs
"3,081 people have viewed this item",Sneaking 
 Champagne Taittinger ,Not Dark Pattern
Hurry! Only 7 left,Bait and switch
"19,302 people have added this item to cart",Sneaking 
"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",Sneaking 
"Howdy stranger, looks like your trail has hit a dead end.",Not Dark Pattern
 Maker Faire News ,Not Dark Pattern
31 people seeing this product right now,Sneaking 
3 other people are currently viewing this item.,Sneaking 
Favored By: 400 people!,Sneaking 
 All Shoes ,Not Dark Pattern
 What's New New arrivals daily ,Not Dark Pattern
143 BOUGHT,Sneaking 
WARNING! Only 5 left in stock!,Bait and switch
"No thanks, I've got too much cool Glock stuff!",Forced continuity
43 added to bag in the last 48hrs,Sneaking 
67% offers claimed. Hurry up!,Bait and switch
Party & Birthday Novelties,Not Dark Pattern
 Temple Locks ,Not Dark Pattern
Sara from Philadelphia just saved $68 on her order.,Sneaking 
17 people have viewed this wine today,Sneaking 
 Data Processor: Amobee ,Not Dark Pattern
new merch coming soon,Not Dark Pattern
Prices subject to change without notice. Products shown may not be available in our stores.,Not Dark Pattern
Add your favourites to cart,Not Dark Pattern
Free Shipping On Orders Over $49* - Limited Time Only,Hidden costs
"Someone in DOVER, United States just bought Crew 15 mins ago",Sneaking 
 Payment Methods ,Not Dark Pattern
 Also notify me about New Arrivals! ,Not Dark Pattern
POSTED BY @missladywoolf#motoin,Not Dark Pattern
 All Personalised Gifts ,Not Dark Pattern
HURRY! ONLY 19 LEFT IN STOCK.,Bait and switch
Massive Tax Time Sale See Discounts! Sale ends in,Hidden costs
Special sale ends in,Hidden costs
"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. ",Not Dark Pattern
Sorry! This product is no longer available,Not Dark Pattern
Brand: Ray-Ban® | Similar products from Ray-Ban®,Not Dark Pattern
"No thanks, free stuff isn't for me.",Forced continuity
Only 2 Left,Bait and switch
 Colored Contact Lenses ,Not Dark Pattern
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Sneaking 
In stock | 44 left,Bait and switch
only 7 pieces left,Bait and switch
Download Now,Not Dark Pattern
Beach Towels & Mats,Not Dark Pattern
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,Hidden costs
"Hurry, limited quantities left!",Bait and switch
Light Works,Not Dark Pattern
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",Not Dark Pattern
Only 14 left!,Bait and switch
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Forced continuity
I already have this item. Do not add this to cart,Forced continuity
Security Cameras,Not Dark Pattern
Cross Body,Not Dark Pattern
" -- Preeti Shenoy, author of THE RULE BREAKERS",Not Dark Pattern
Royal Python Vivariums,Not Dark Pattern
Stone Island Junior,Not Dark Pattern
ONLY 1 LEFT!,Bait and switch
 Sustainably made,Not Dark Pattern
Bob's For Business,Not Dark Pattern
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Forced continuity
Boys Green School Uniforms,Not Dark Pattern
 Show Password ,Not Dark Pattern
Pay Securely with Trespass,Not Dark Pattern
Limited Stock!,Bait and switch
 adidas Originals Stan Smith ,Not Dark Pattern
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Hidden costs
 Functional Marketing Cookies,Not Dark Pattern
Limited Time Offers,Hidden costs
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Sneaking 
436 users are currently active on our website Just now,Sneaking 
"Exposed Membership (recurring subscription) and Cancellations  If You order with Exposed Membership, you are selecting a recurring billing subscription, where You will receive a new kit approximately every 60 days. You are able to cancel by contacting Exposed customer care at 1-866-404-7656, 8am – 4pm Pacific Time, M-F.  If You are part of our Monthly installment program, You will be billed in two monthly installments for each acne kit shipped. Each kit will be shipped every two months unless your membership is canceled. To cancel Your Exposed Membership, You must: 1. first pay in full for all kits that have been shipped 2. and, then contact Exposed customer care at 1-866-404-7656 8am – 4pm Pacific Time, M-F to process Your cancellation.",Sneaking 
Sale Coats and Jackets,Not Dark Pattern
Shop By Brands,Not Dark Pattern
Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,Forced continuity
ROAD CLOTHING,Not Dark Pattern
"No thanks, I don't want to build one.. I'd rather kick rocks!",Forced continuity
 Menstrual Products ,Not Dark Pattern
4 SEATS LEFT,Bait and switch
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Sneaking 
Shoes & Clothing,Not Dark Pattern
Imported,Not Dark Pattern
Will sell out fast!,Bait and switch
Get it fast! 14 added to bag today,Sneaking 
Herbaceous oil rich in anti-aging polyphenols.,Not Dark Pattern
HURRY! LESS THAN 129 LEFT.,Bait and switch
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Sneaking 
Only 3 left in stock,Bait and switch
We only have 5 left!,Bait and switch
"Nah, I like paying full price",Forced continuity
2 people have looked at this in the last couple of hrs.,Sneaking 
Real time 30 Visitor right now,Sneaking 
Drawstring Backpacks,Not Dark Pattern
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Bait and switch
"No thanks, I don't like getting free stuff.",Forced continuity
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Sneaking 
HURRY! ONLY 2 LEFT!,Bait and switch
Less than 7 left!,Bait and switch
BOTTLES LEFT 3,Bait and switch
Items reserved for 15:00,Hidden costs
ONLY 4 LEFT!,Bait and switch
-90% discount if you order within 9:55:44,Hidden costs
 Latest looks from Myleene Klass Shop now ,Not Dark Pattern
Only 9 left in stock,Bait and switch
ADD FOR BETTER RESULTS,Forced continuity
 Affiliate ,Not Dark Pattern
Auto Delivery Program,Not Dark Pattern
Save $148.98AUD – 49% Off,Forced continuity
Low Stock – Selling Fast,Bait and switch
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Sneaking 
Only 6 left,Bait and switch
Pro Boost Treatments,Not Dark Pattern
Baby Nursing & Feeding,Not Dark Pattern
4 bought in the last 24 hours.,Sneaking 
We're offline,Not Dark Pattern
12 customers viewed this product today!,Sneaking 
